problem_index,Anytime 1.25-A*,Anytime 1.5-A*,Anytime 2-A*,Anytime A*
"0,1,2,7,6,5,8,4,3",0.0238689621910452,0.0160101410001516,0.0157368201762437,0.0415819808840751
"0,1,4,3,7,5,8,6,2",0.0544140925630927,0.0568306967616081,0.1064839418977499,0.0881134029477834
"0,1,6,4,5,8,3,2,7",0.0861626928672194,0.0484348842874169,0.0342025384306907,0.1289807977154851
"0,1,7,8,2,3,4,5,6",0.0630488498136401,0.077357804402709,0.0797130409628152,0.1142950924113392
"0,2,1,5,4,3,8,6,7",0.0730464505031704,0.0299932425841689,0.0516254995018243,0.1976793045178055
"0,2,3,8,5,4,7,1,6",0.0894022602587938,0.1354120504111051,0.0545884370803833,0.1633224915713071
"0,2,6,3,5,7,4,8,1",0.1815305426716804,0.1010012151673436,0.0580117003992199,0.2190459547564387
"0,2,6,5,3,4,1,7,8",0.0084814438596367,0.0138046313077211,0.0183236422017216,0.0183073515072464
"0,3,4,6,5,2,7,8,1",0.2936456287279725,0.2537719830870628,0.1604105671867728,
"0,3,5,1,2,4,6,8,7",0.9196843486279248,0.7510153520852327,0.2238136250525713,1.3904088819399476
"0,3,5,1,2,6,7,8,4",0.0107707753777503,0.0181316770613193,0.0269842306151986,0.0239096339792013
"0,4,2,3,5,1,8,6,7",0.3948806831613183,0.2793487450107932,0.1194471921771764,0.9817860769107938
"0,4,2,7,3,1,5,8,6",0.0223285127431154,0.0246975403279066,0.0199884185567498,0.0279738362878561
"0,4,6,2,3,7,5,1,8",0.0372231286019086,0.028235618956387,0.0615706332027912,0.0524812238290905
"0,4,6,3,8,5,7,2,1",0.1182777713984251,0.0851956792175769,0.1216978533193469,0.2181129436939954
"0,5,2,4,6,7,8,3,1",0.3226464390754699,0.157157402485609,0.4006134839728474,1.0188718037679791
"0,5,3,1,4,8,6,7,2",0.2163619538769126,0.1552953040227294,0.1174136511981487,0.4126335009932518
"0,5,4,7,1,8,2,3,6",0.7901420770213008,0.4174187406897545,0.1450213324278593,2.0127375684678555
"0,5,4,8,7,1,2,3,6",0.1539673367515206,0.3173669809475541,0.1007781308144331,0.2176506463438272
"0,5,8,1,4,3,6,2,7",0.1516150031238794,0.1406466402113437,0.1416973201557994,0.3351754872128367
"0,5,8,2,7,6,4,1,3",1.2758116945624352,0.7985458988696337,0.3975306116044521,1.2090877620503306
"0,6,2,3,7,8,5,4,1",0.0517228059470653,0.0566639294847846,0.0787518275901675,0.228993397206068
"0,6,4,1,3,7,2,8,5",0.3016620622947812,0.1167214643210172,0.0791221903637051,1.0478923730552197
"0,7,2,8,1,3,6,4,5",0.0195121811702847,0.0194354886189103,0.0049185343086719,0.0088031310588121
