problem_index,Anytime 1.25-A*,Anytime 1.5-A*,Anytime 2-A*,Anytime A*
"0,2,8,12,1,7,3,15,4,6,13,11,5,10,9,14",0.3424434941262007,0.109163069166243,0.0349482018500566,3.923941928893328
"0,5,15,2,13,4,11,10,3,12,14,6,1,8,9,7",43.7656338037923,94.2806029720232,21.31107346341014,1783.8577639069408
"1,7,11,0,13,8,14,2,9,10,5,4,12,3,15,6",74.00426209531724,16.126255731098354,1.013507460244,1140.3216628655791
"11,2,9,4,3,7,1,14,6,10,15,12,0,5,13,8",65.73896349128336,27.987311461940408,2.898640017956496,333.7068950617686
"11,2,9,8,0,5,10,4,7,13,12,1,3,6,14,15",69.99140011239797,9.387762807309628,5.051695561036468,1100.46025945805
"11,9,12,3,14,7,0,4,5,2,15,6,10,1,8,13",243.58755838684732,36.5183490505442,13.13332376908511,2619.786481242627
"12,6,14,10,11,13,4,0,3,9,15,7,1,5,2,8",2.205230969935656,4.946807919070125,0.5459532793611288,232.4907558374107
"14,9,0,7,3,1,13,12,5,6,4,10,15,11,8,2",104.51538593508305,22.453879901207983,2.2975707929581404,560.6369410408661
"15,5,13,8,6,4,14,10,11,2,3,12,1,9,7,0",295.92440646886826,23.5185293648392,1.6678797490894794,4115.415114555508
"15,7,6,3,0,5,14,9,12,10,2,8,11,13,1,4",1034.6661311909556,211.5192061401904,7.0297593884170055,7923.626624375582
"2,1,6,5,4,3,14,8,10,9,7,11,15,0,12,13",647.6637991862372,106.63276724983008,22.167853171937168,1608.741689235903
"2,13,15,3,7,5,0,1,10,9,12,6,8,11,14,4",96.44771705847234,9.60032755881548,4.793679260648787,2129.3373183831573
"2,4,13,1,15,11,8,6,7,14,12,10,9,3,0,5",1659.2254624934867,213.01352272368968,21.889555784873664,
"5,11,1,6,7,2,4,3,8,12,15,9,0,10,13,14",125.9894059309736,18.90054177120328,2.371794570237398,1369.6049951594323
"5,12,6,3,4,2,13,1,14,0,7,9,10,15,11,8",701.7508903518319,174.30063065420836,6.825279361568391,5772.630889568478
"6,11,14,12,5,9,15,2,8,7,0,4,3,1,10,13",400.0749229192734,68.94791886676103,2.4201540937647223,2831.7365529406816
"6,8,4,14,9,3,5,7,11,10,13,12,0,1,15,2",50.41121844481677,31.094686202704903,12.663292405195534,2429.6337055070326
"8,13,3,14,1,6,5,9,15,12,10,2,11,4,7,0",21.56601749919355,1.3687060037627816,6.18717788439244,1063.067098187283
"9,3,1,13,12,6,8,11,0,4,10,5,7,14,15,2",709.7940692258999,50.05716267228127,1.1329525243490934,
"9,7,15,11,10,3,0,4,1,13,14,8,6,12,2,5",21.02992547955364,4.345502213574946,3.0031817350536585,134.74017408210784
