problem_index,Anytime 1.25-A*,Anytime 1.5-A*,Anytime 2-A*,Anytime A*
"2,10,0,12,8,6,9,1,13,7,3,15,5,4,14,11",371417.0,51903.0,5577.0,
"12,3,8,5,7,1,6,0,9,10,11,14,4,13,15,2",167289.0,34384.0,11622.0,
"0,9,5,11,6,1,10,14,12,15,7,2,13,3,4,8",160924.0,54707.0,14224.0,3437909.0
"12,5,13,8,0,7,11,9,1,4,6,2,3,15,10,14",,181690.0,19302.0,
"13,8,15,2,6,14,7,5,0,1,4,10,3,12,9,11",186135.0,64244.0,21649.0,5226313.0
"0,14,12,2,13,1,3,4,9,8,7,6,10,5,15,11",98868.0,25552.0,29351.0,1039900.0
"14,4,13,3,12,1,8,2,7,0,10,6,11,15,9,5",1283097.0,494058.0,40560.0,
"12,13,1,9,2,7,10,8,0,11,5,15,3,14,6,4",,737773.0,45947.0,
"4,15,14,3,8,6,0,1,13,5,2,12,10,11,7,9",2760355.0,412089.0,84383.0,
"5,15,8,12,14,0,3,1,6,4,7,10,13,11,9,2",386537.0,58301.0,26072.0,5726466.0
"0,7,10,3,14,5,6,8,4,11,2,9,13,1,15,12",515149.0,248422.0,72293.0,2683848.0
"12,4,6,7,11,8,15,1,10,9,13,0,3,2,14,5",1036767.0,214734.0,105347.0,
"0,12,2,9,3,1,11,6,5,7,8,10,15,14,4,13",,2682380.0,80911.0,
"13,12,1,6,8,15,3,2,10,11,0,4,14,5,7,9",11840.0,1182.0,2331.0,722605.0
"2,10,13,0,12,1,3,9,4,7,6,5,15,8,11,14",1445374.0,89552.0,44533.0,
"12,11,7,6,15,2,0,4,3,5,10,14,13,8,1,9",678137.0,12069.0,31309.0,
"12,11,14,15,2,4,5,9,10,8,6,13,3,0,1,7",503199.0,416444.0,55756.0,
"6,1,15,14,8,12,0,4,3,5,11,2,13,9,10,7",107080.0,55188.0,1916.0,1289606.0
"13,0,7,12,4,14,6,10,9,8,2,3,11,1,5,15",1047774.0,122330.0,21921.0,
"5,14,13,2,4,11,8,0,10,3,7,9,6,1,12,15",3382684.0,1823578.0,131610.0,
"14,0,11,10,15,7,4,2,5,8,13,12,9,1,6,3",1388262.0,194155.0,252489.0,
"3,0,14,4,10,13,11,12,1,2,9,6,15,5,8,7",47109.0,24907.0,6059.0,1495082.0
"1,2,4,15,11,14,10,6,8,0,13,5,7,3,12,9",207592.0,32296.0,22410.0,5079498.0
"6,14,7,4,2,5,8,1,13,11,0,12,15,10,9,3",348665.0,307342.0,114590.0,513189.0
"4,1,3,7,14,15,12,9,2,13,6,8,10,0,5,11",625007.0,93586.0,13267.0,5978100.0
"7,2,12,0,11,5,4,3,13,10,1,8,9,6,14,15",49461.0,24653.0,11337.0,68240.0
"9,4,13,7,0,10,12,5,15,6,3,14,11,1,8,2",2001509.0,210445.0,3656.0,
"7,14,15,3,4,9,10,12,1,5,0,13,11,2,8,6",728937.0,204226.0,78731.0,
"15,4,1,6,2,12,5,11,8,13,10,9,7,14,3,0",1163066.0,82960.0,11178.0,
"12,9,7,1,13,3,10,6,4,15,14,5,8,0,2,11",1880564.0,129296.0,62795.0,
"13,1,14,9,3,12,0,7,6,10,5,4,8,15,2,11",395363.0,9796.0,48126.0,
"2,1,15,0,3,13,8,5,14,12,4,6,9,10,11,7",1127016.0,408778.0,69712.0,2150825.0
"15,10,3,8,0,11,12,7,6,2,5,9,13,1,14,4",,950995.0,125963.0,
"13,9,5,7,12,2,15,8,4,1,14,6,10,3,0,11",9111.0,5033.0,23938.0,685414.0
"8,13,2,5,0,1,9,10,11,12,4,14,3,7,15,6",243734.0,15470.0,5994.0,
"6,0,13,15,3,1,11,10,4,9,5,2,7,12,14,8",929119.0,27362.0,3742.0,
"11,6,0,15,4,1,3,7,14,12,10,9,2,8,5,13",1768637.0,117063.0,14732.0,15880558.0
"6,3,11,2,14,5,9,0,12,15,10,4,8,1,13,7",34928.0,10841.0,6054.0,637695.0
"10,0,15,11,13,1,2,7,12,14,8,3,5,4,9,6",166524.0,16774.0,6596.0,1807762.0
"2,11,0,10,9,12,15,8,7,5,6,4,1,3,14,13",,3458786.0,691772.0,
